kota,utc_datetime,local_datetime,t,hu,weather_desc,weather_desc_en,ws,wd,tcc,vs_text,analysis_date
Bogor,2025-10-22 23:00:00,2025-10-23 06:00:00,24,87,Cerah Berawan,Partly Cloudy,12.9,SE,88,> 10 km,2025-10-21T00:00:00
Bogor,2025-10-23 02:00:00,2025-10-23 09:00:00,28,66,Hujan Ringan,Light Rain,12.9,SE,98,> 10 km,2025-10-21T00:00:00
Bogor,2025-10-23 05:00:00,2025-10-23 12:00:00,26,75,Hujan Ringan,Light Rain,13.0,S,100,< 10 km,2025-10-21T00:00:00
Bogor,2025-10-23 08:00:00,2025-10-23 15:00:00,25,79,Berawan,Mostly Cloudy,13.0,S,100,< 10 km,2025-10-21T00:00:00
Bogor,2025-10-23 11:00:00,2025-10-23 18:00:00,24,81,Berawan,Mostly Cloudy,12.7,SE,100,> 10 km,2025-10-21T00:00:00
Bogor,2025-10-23 14:00:00,2025-10-23 21:00:00,23,85,Berawan,Mostly Cloudy,12.7,SE,100,> 10 km,2025-10-21T00:00:00
Bandung,2025-10-21 08:00:00,2025-10-21 15:00:00,23,79,Hujan Sedang,Moderate Rain,6.4,S,95,< 10 km,2025-10-21T00:00:00
Bandung,2025-10-21 11:00:00,2025-10-21 18:00:00,21,93,Hujan Ringan,Light Rain,1.5,NW,100,< 6 km,2025-10-21T00:00:00
Bandung,2025-10-21 14:00:00,2025-10-21 21:00:00,20,94,Berawan,Mostly Cloudy,1.0,NE,100,< 10 km,2025-10-21T00:00:00
Bandung,2025-10-21 17:00:00,2025-10-22 00:00:00,20,92,Berawan,Mostly Cloudy,2.1,NE,100,< 10 km,2025-10-21T00:00:00
Bandung,2025-10-21 20:00:00,2025-10-22 03:00:00,21,85,Berawan,Mostly Cloudy,0.5,N,99,> 10 km,2025-10-21T00:00:00
Bandung,2025-10-21 23:00:00,2025-10-22 06:00:00,22,87,Berawan,Mostly Cloudy,1.3,E,100,< 10 km,2025-10-21T00:00:00
Bandung,2025-10-22 02:00:00,2025-10-22 09:00:00,27,64,Berawan,Mostly Cloudy,6.1,S,97,< 10 km,2025-10-21T00:00:00
Bandung,2025-10-22 05:00:00,2025-10-22 12:00:00,23,81,Hujan Ringan,Light Rain,3.9,SW,100,< 8 km,2025-10-21T00:00:00
Bandung,2025-10-22 08:00:00,2025-10-22 15:00:00,22,89,Hujan Ringan,Light Rain,2.0,W,100,< 7 km,2025-10-21T00:00:00
Bandung,2025-10-22 11:00:00,2025-10-22 18:00:00,21,93,Hujan Ringan,Light Rain,2.5,NE,100,< 10 km,2025-10-21T00:00:00
Bandung,2025-10-22 14:00:00,2025-10-22 21:00:00,21,93,Berawan,Mostly Cloudy,4.3,W,100,< 8 km,2025-10-21T00:00:00
Bandung,2025-10-22 17:00:00,2025-10-23 00:00:00,20,94,Berawan,Mostly Cloudy,2.8,NE,99,> 10 km,2025-10-21T00:00:00
Bandung,2025-10-22 20:00:00,2025-10-23 03:00:00,20,91,Berawan,Mostly Cloudy,0.7,NW,100,< 10 km,2025-10-21T00:00:00
Bandung,2025-10-22 23:00:00,2025-10-23 06:00:00,21,90,Berawan,Mostly Cloudy,0.7,N,99,> 10 km,2025-10-21T00:00:00
Bandung,2025-10-23 02:00:00,2025-10-23 09:00:00,26,65,Berawan,Mostly Cloudy,0.7,N,99,> 10 km,2025-10-21T00:00:00
Bandung,2025-10-23 05:00:00,2025-10-23 12:00:00,23,81,Petir,Thunder,2.6,S,100,< 7 km,2025-10-21T00:00:00
Bandung,2025-10-23 08:00:00,2025-10-23 15:00:00,23,82,Petir,Thunder,2.6,S,100,< 7 km,2025-10-21T00:00:00
Bandung,2025-10-23 11:00:00,2025-10-23 18:00:00,22,86,Berawan,Mostly Cloudy,3.2,NE,100,> 10 km,2025-10-21T00:00:00
Bandung,2025-10-23 14:00:00,2025-10-23 21:00:00,21,86,Berawan,Mostly Cloudy,3.2,NE,100,> 10 km,2025-10-21T00:00:00
